average_salary,Industry
90000.0,Sheet metal
90000.0,Retail/Apparel
90000.0,Operations
90000.0,OEM / Automotive / Automation
90000.0,Museum Exhibit Design
90000.0,Military officer
90000.0,Media/Entertainment
90000.0,Materials
90000.0,Market Reaearch
90000.0,Judiciary
90000.0,IT - State Government contractor
90000.0,Hotels / Food and Beverage
90000.0,Gaming/AR Technology
90000.0,Gaming Commission
90000.0,Fruit Packing
90000.0,Freight rail
90000.0,Fashion and apparel
90000.0,Computer Peripherals
90000.0,Bulk Material Handling
90000.0,Brokerage industry
89900.0,online legal news
89802.6923076923,DoD
89800.0,Sports Marketing
89710.0,Health Policy
89653.7777777778,Energy/Utilities
89533.3333333333,Freight
89500.0,Media/Technology
89500.0,Energy/Oil & Gas
89439.0,Health Science
89263.1261538462,Medical Education
89000.0,Legal - Private firm
89000.0,Helicopter EMS
88948.1333333333,Public Relations
88833.3333333333,Regulatory Affairs
88750.0,Digital Security
88570.0,Streaming Media
88500.0,Library--College
88474.6,UX Design
88453.3333333333,Domestic/Wine
88333.3333333333,Landscape
88190.0,Sportswear
88000.0,Spirits Importing
88000.0,Media/Marketing
88000.0,Managed Hosting
88000.0,HVAC Engineering Consulting
88000.0,Dietary Supplements
88000.0,Cosntruction
87885.4545454545,Financial - investments
87666.6666666667,Audio Visual (Commercial)
87595.0,Waste Services
87571.4285714286,Research & Development
87500.0,Tech/Media
87500.0,Tech/Databases
87500.0,Health & Benefits
87500.0,Env. Consulting
87500.0,Commodity Trading
87250.0,Paper Manufacturing
87200.0,Trades
87000.0,Packaged Food and Beverage
87000.0,Law - Public Interest
87000.0,Higher Ed / Health Care
87000.0,DOD Federal
87000.0,Big Pharma
86832.0,US Air Force
86575.0,Aerospace/Government
86553.3333333333,Financial Planning
86500.0,Chemical Industry
86300.0,High Technologu
86280.0,Bank
86050.0,Event Management
86000.0,Payroll & Human Resource Management
86000.0,Organizational development and training
86000.0,Machine Controls
86000.0,Equity Research
86000.0,Energy Economics
86000.0,Elder Care
86000.0,Data Services
86000.0,AgTech
85820.0,Water Resources
85814.2857142857,Global Health
85772.9523809524,Digital Media
85650.0,Quick Service Restaurant
85625.0,Space
85450.0,Sports and Entertainment
85412.75,Supply Chain
85360.0,Franchised Auto Dealership
85150.0,Internal Audit
85125.0,Abc
85000.0,Transit
85000.0,Sports Tech
85000.0,Simulation Education
85000.0,SALES ORGANIZATION
85000.0,Research Science (Lab)
85000.0,Rail/Energy
85000.0,Radio Communications
85000.0,Oil & Gas / Manufacturing
85000.0,Multimedia
85000.0,Media relations
85000.0,Maufacturing
85000.0,Legal - Law Firm
85000.0,Learning Adminstration
85000.0,Land Use Planning
85000.0,Labor Law (Union-side)
85000.0,Health Trade Association
85000.0,Genetic counseling
85000.0,Freight Transportation
85000.0,Fraud & Identity Software
85000.0,Food safety and quality
85000.0,Flexible packaging
85000.0,Email Marketing
85000.0,Cupping holistic
85000.0,Automobile Sales
85000.0,Alchol
84868.0,Internet Software
84800.0,Research in Renewable Energy
84700.0,BPO
84500.0,Beverage Manufacturing
84333.3333333333,Art
84275.0,Academia (administrator)
84000.0,Regional transportation authority
84000.0,P&C Insurance
84000.0,Meteorology
84000.0,Disease diagnostics- research
84000.0,County level government
84000.0,Clean Technology
84000.0,Art Education
83868.675,Medical Software
83666.6666666667,Scientific
83666.6666666667,Legal Compliance
83612.5,STEM
83570.0,Energy journalism/analysis
83540.0,Franchising
83500.0,Museum publishing
83500.0,Mfg software and computers
83500.0,Fire Department
83416.6666666667,Media/Advertising
83400.0,digital health
83296.0,Air safety
83250.0,Online Education
83200.0,PAINTING AND FINISHINGS
83145.0,Trade association
83000.0,Tech/Life Sciences
83000.0,State govt
83000.0,"Research, government, health, biomedicine"
82600.0,Managrment Consulting
82600.0,Cosumer goods
82600.0,Ads / Classifieds
82471.6666666667,Goverment
82416.5,Building & Construction
82400.0,process systems
82400.0,Media/Television
82168.75,Hospital
82000.0,Quick serve restaurant
82000.0,Info Sec
82000.0,Coffee - Consumer Goods
82000.0,Bsnking
81960.0,Wholesale distribution
81951.5555555556,HR Consulting
81900.0,Tradeshow
81816.2,Fashion Design
81800.0,Product Development
81750.0,School
81700.0,Supply Chain & Logistics
81666.6666666667,Optics
81556.6666666667,Audiology
81500.0,Higher Ed / Libraries
81456.0,Design and Technology
81444.0,B2B Sales
81333.3333333333,Luxury Goods
81313.3333333333,Localization
81280.0,Audio Visual
81177.34375,Warehousing
81083.3333333333,Association
81000.0,Training and Development
81000.0,Seed industry
81000.0,Naval Shipyard
81000.0,HR Technology
80960.0,Heavy Construction
80928.3333333333,Academic
80600.0,Medico-legal consulting
80500.0,Labor Organization
80500.0,Geotechnical engineering
80290.0,Optical
80166.6666666667,Litigation Support
80000.0,tech/education & some military contracting
80000.0,science support
80000.0,Wine Distribution
80000.0,Web Technology
80000.0,Wastewater services
80000.0,Wastewaster
80000.0,User Operations / Ed-Tech
80000.0,Trash & Recycling
80000.0,Technology learning
80000.0,State Politics
80000.0,Solar construction
80000.0,Sales Performance Managment
80000.0,Property development
80000.0,Property Preservation
80000.0,Plastic Pipe
80000.0,Planning/Public Involvement
80000.0,Nanotechnology
80000.0,Mfg
80000.0,Meat packing
80000.0,Magazine editorial
80000.0,Lighting
80000.0,Legal consulting/tech
80000.0,Law practice
80000.0,Imaging
80000.0,IVD Manufacturing
80000.0,IT Support
80000.0,I do news media outreach for a university
80000.0,Highed Education
80000.0,Green industry
80000.0,Food Processing
80000.0,Fine Art Market
80000.0,"Fem Tech, E-Commerce"
80000.0,Engineer Consulting
80000.0,Energy & Resources
80000.0,Editing/ education publishing + education events management
80000.0,Content strategy
80000.0,Chemical transportation
80000.0,Chemical Production
80000.0,Athletic Shoes and Apparel
80000.0,Apparel/Retail
80000.0,Animal Control
80000.0,Academia/Nonprofit
79968.0,Labor Relations
79966.0606060606,Travel
79950.0,Event technology
79917.7272727273,Events
79600.0,Clothing
79466.6666666667,Land Surveying
79028.5714285714,Automation
79000.0,Traffic technology--tolling
79000.0,Defense/tech
79000.0,Commodity Chemicals
78942.7984615385,Librarianship
78810.0,Scholarly Publishing
78800.0,Graduate-level health care education
78644.0,Food & Beverage
78500.0,HCM Payroll Solution
78500.0,Agrochemical
78400.0,SAS (Softare as a Service)
78400.0,Clean Energy
78357.1428571429,Creative
78350.0,Media/Journalism
78166.6666666667,Digital Agency
78155.0,Land Development
78020.0,Tree Care
78000.0,media services
78000.0,Travel and Tourism
78000.0,State Employee
78000.0,Research Laboratory
78000.0,Quality/Food Safety
78000.0,"Land Conservation, Government"
78000.0,Import / Export
78000.0,IT Operations
78000.0,Genetic testing
78000.0,Gas Utility
78000.0,Food & Bev (tech)
78000.0,Defense - Software
78000.0,Creative - Experience Design
78000.0,Community Organizing/Social Justice
78000.0,Bindery
78000.0,"Beer, wine, and spirits"
77888.8888888889,Food industry
77880.0,Desktop application development
77625.0,Food Retail
77600.0,Language Technology
77552.39,HR
77511.4285714286,Auto industry
77500.0,arts management
77500.0,STM Publishing
77250.0,New Tech/Startup
77250.0,Health Risk Assessment
77242.3076923077,Politics
77000.0,startup marketing - content
77000.0,crash reconstruction
77000.0,Wine
77000.0,Sports Television
77000.0,Sales Operations
77000.0,Omnichannel Solutions
77000.0,Drafting & Engineering
77000.0,Corporate
77000.0,Automobile
76920.0,Wholesale Manufacturing
76875.0,Public Media
76700.0,Metal Processing / electrical engineering
76700.0,Media / Distribution
76700.0,Aviation/Defense
76666.6666666667,Cable
76600.0,Conservation NGO
76500.0,Higher Ed Communications
76500.0,Hazardous Waste
76500.0,Data/Tech/Fundraising
76372.332,Computer Science
76368.0666666667,Retail Pharmacy
76333.3333333333,Road Construction
76268.0,Television Production
76240.5,HR - Higher Ed
76218.9,Nursing
76204.0,Law/Judiciary
76000.0,Union Organization
76000.0,Tech consulting
76000.0,Package Delivery
76000.0,Military / Defense
76000.0,MEP Consulting
76000.0,Energy Storage
76000.0,Conglomerate
75985.7142857143,Data Analytics
75800.0,"private, non-profit higher education"
75750.0,Teacher
75367.4357142857,Cosmetics
75300.0,Auto insurance
75250.0,Policy Research
75187.1428571429,Life insurance
75172.5,Leisure
75166.6666666667,Telco
75009.0,Traveling exhibits
75000.0,tech professional services
75000.0,electonic distribution
75000.0,Water Filtration
75000.0,Tech-Payments
75000.0,Stone and Tile
75000.0,Staffing and HT
75000.0,Scrap Metal Recycling
75000.0,Research - Tech and Marketing
75000.0,Political Advertising
75000.0,Movie exhibitor
75000.0,Merchandising
75000.0,Medicare Part D
75000.0,Medical Marijuana
75000.0,Manufaturing/ tech
75000.0,Innovation Research (Optics)
75000.0,Hotel Management
75000.0,Highway Construction
75000.0,Heating Contracing
75000.0,HVAC/IoT
75000.0,Digital Signage
75000.0,"Design, Web & Digital Marketing"
75000.0,Design Agency
75000.0,Data & Technology Consulting
75000.0,"Dairy, Beverages, Transportation"
75000.0,Community Health
75000.0,Chemical mfg
75000.0,Busing
75000.0,Bankin
75000.0,B-corp
75000.0,Audio Video Integration
75000.0,Arbor care
75000.0,AML/BSA Compliance
74750.0,Dairy
74686.0909090909,Research Administration
74665.0,Army Aviation
74602.5,Retail food service (grocery store)
74600.0,Legal academia (staff)
74561.8823529412,Fundraising
74500.0,Fleet
74448.75,Telecom Software Reseller
74276.6666666667,Energy Efficiency
74219.2653521127,Agriculture
74000.0,Web Marketing
74000.0,Vehicle manufacter
74000.0,Tourism/Technology
74000.0,Tehnology
74000.0,QSR
74000.0,Process Plant
74000.0,Point of Sale
74000.0,Health non profit
73891.3333333333,Water Treatment
73833.3333333333,Patent Law
73794.1176470588,City Government
73761.0,Online Marketing
73750.0,Public Defense
73729.4444444444,Automotive Manufacturing
73700.0,Product
73650.0,Contact Center
73628.8571428571,Urban Planning
73562.5,Health Research
73500.0,Sugar
73500.0,Mortgage Servicing
73488.0,Film & Television
73333.3333333333,Student Housing
73333.3333333333,Machine Sales
73329.0,Biomedical science (government)
73276.2,E-Learning
73200.0,Science writing/editing at a nonprofit
73130.0,Science (MRI research)
73000.0,Upper Education
73000.0,Meetings
73000.0,Legal/Not-for-profit
73000.0,Hospice Nursing
73000.0,Bank/Credit Union
72955.0,Automotive / Financial
72847.5,Robotics
72800.0,Traffic/Transportation Engineering
72768.0,Natural Products (Food/Beverage)
72600.0,Funding
72533.3333333333,Wine Industry
72500.0,Media/cable
72500.0,Land Survey
72500.0,Horse Racing
72500.0,Energy (nonprofit)
72451.0,Vitamin manufacturing
72377.6571428571,Science
72300.0,Behavioral Therapy (Psychology)
72250.0,Meeting Planning
72100.0,Lottery
72000.0,Zoology (academic)
72000.0,Mining Consulting
72000.0,Mineral Exploration
72000.0,Luxury/Fashion
72000.0,Logitistics
72000.0,"Libraries (academic, private)"
72000.0,Full Scale Testing
72000.0,Coliving
72000.0,Aging Care
71980.0,Ad tech/mobile marketinf
71765.0,Counselling
71760.0,Commodity hedging / purchasing
71668.1666666667,SEO
71666.6666666667,Corporate housing
71644.4444444444,Education Research
71640.0,Product Design Consulting
71540.0,Sports
71500.0,Animal Health Care
71400.0,Social Expressions
71400.0,Academia/Other
71360.0,Diplomacy
71321.5,Special Libraries
71310.0,ICT
71250.0,Occupational Safety and Health
71000.0,Tech/retail
71000.0,Planning
71000.0,Fashion & Garment Manufacturing
71000.0,Community Counseling Center
71000.0,Community Association Management
71000.0,Ceramics Manufacturing
71000.0,B2B Marketing
71000.0,Archaeological consulting
70977.2222222222,Solar
70800.0,Consultation
70675.0,Academia/Research
70666.6666666667,Payroll/HR
70662.3333333333,Retail/Convenience Store
70509.3333333333,New media
70400.0,Film and TV
70390.7,Legal (Non-profit)
70385.7142857143,Natural gas
70333.3333333333,Maintenance
70200.0,Retail Mail Order
70000.0,air freight
70000.0,Vascular ultrasound
70000.0,University Finance
70000.0,SaaS/Recruiting
70000.0,Retailer Ecom
70000.0,Refugee Resettlement
70000.0,Realty/Property Management
70000.0,Private Education company
70000.0,Pension Administration
70000.0,NYC Government
70000.0,NCAA Athletics
70000.0,Mortgage banking
70000.0,Mid-sized city government-Public works
70000.0,Media/Newspapers
70000.0,Logistics (cold warehousing of food)
70000.0,Laser Manufacturing
70000.0,Integrated Pest Management
70000.0,Health/Personal Care
70000.0,Health Case
70000.0,Granite countertops
70000.0,Fuel Distribution
70000.0,Find
70000.0,Electrification
70000.0,DTC genomics
70000.0,Civil legal services
70000.0,Broker dealer in investment
70000.0,BiotechMar
70000.0,Bio assay development
70000.0,Bike rental
70000.0,Beauty / Wellness
70000.0,Banking/lending
70000.0,Baking
70000.0,Apartment Management
69993.3333333333,Building Operations
69957.1428571429,Public Affairs
69750.0,Digital Community Management
69625.0,Banking (credit union)
69620.0,Aeronautic engineering
69560.0,GivenGover
69505.7777777778,Social Science Research
69500.0,Research/Professional Services
69500.0,IT/Education
69500.0,Auto Collision
69325.0,Writing
69250.0,Higher Ed Administration
69000.0,Pharma/Clinical Trials
69000.0,Leasing
69000.0,Higher Ed (Professional School)
69000.0,Heating & Cooling
69000.0,Fire safety
68900.0,National Security
68888.0,City Planning
68845.0,Wholesale Fuel and Diesel
68810.0,A/E/C
68786.0,Utility Provider
68744.0,Mortgage Industry
68570.4736842105,Association Management
68500.0,Waste
68500.0,MLM
68500.0,Languages
68440.0,Expense management
68238.4615384615,Behavioral Health
68230.0,Energy retail
68166.6666666667,SAAS (Tech)
68080.0,Property / Real Estate
68060.0,Banking and Finance
68000.0,Paint and Coatings
68000.0,Museum/arts
68000.0,Immigration Law
68000.0,Home Services
67836.0,Public Policy
67666.6666666667,Psychology
67500.0,Safety
67500.0,Mass media
67500.0,Academia (university)
67333.3333333333,Travel & Tourism
67333.3333333333,Biomedical Engineering
67200.0,Religious - Charitable
67200.0,Public Utitlity
67200.0,Laboratory
67200.0,Geological Engineering
67126.0,Business Retail
67066.6666666667,State agency
67009.0,Actuarial
67000.0,science non-profit
67000.0,fertilizer
67000.0,accessibility/technology
67000.0,Program evaluation
67000.0,Medica Device
67000.0,Library Administration/Local Gov't.
67000.0,IT in Higher Education
67000.0,Foundations (nonprofit)
67000.0,Forklift sales and service
67000.0,Drug testing
67000.0,Continuing Education
67000.0,Air Pollution Regulation
66993.0,Econometrics
66940.0,Feminist Nonprofit
66916.6666666667,Data Analysis
66737.7142857143,IT / Software
66650.715,Humanitarian (INGO)
66600.0,Rehabilitation
66600.0,IT for Local Government
66526.0,Sports/fashion
66500.0,Grocery Store Deli
66300.0,Aftermarket Heavy Duty Truck Parts
66280.0,Cyzbersecuritz
66277.7777777778,Arts Non Profit
66000.0,energy/environment
66000.0,Tech/coworking
66000.0,Stressin
66000.0,Public Administration (Government)
66000.0,Nurse
66000.0,NGO Arts & Culture
66000.0,Live Events / Media
66000.0,Libraries-Special
66000.0,IT / Web Hosting
66000.0,IT - Supply Chain
66000.0,Garment
66000.0,Editorial/Media
65851.6666666667,Cultural & entertainment - nonprofit
65800.0,Political Consulting
65766.6666666667,Commercial garage doors
65760.0,Social research
65760.0,Non-departmental public body (research funding)
65600.0,"Science, conservation"
65600.0,C store management
65550.0,Community Development
65524.6666666667,Fashion Retail
65485.7142857143,Textiles
65416.7619047619,Public Safety
65308.8888888889,Apparel
65000.0,museum/government
65000.0,Web content management
65000.0,We development
65000.0,Union representation
65000.0,Test & Measurement
65000.0,Television Media
65000.0,Solar Energy
65000.0,Social Certification
65000.0,Settlement Administration
65000.0,Science/government
65000.0,Polling and Consulting
65000.0,Politics/organizing
65000.0,Pet care (corporate)
65000.0,Medical Malpractice Insurance Company
65000.0,Media and Publishing
65000.0,Machine Trades
65000.0,Legsl
65000.0,Legal assistant
65000.0,Legal Marketing
65000.0,Law/tech
65000.0,Law/Lobbying
65000.0,Language Services
65000.0,Interactive Response Technology (IRT)
65000.0,IT/MSP
65000.0,IT for an industrial metals company
65000.0,IT / Health & Pharma Services
65000.0,Housing and Community Development
65000.0,High end retail
65000.0,HRO Outsourcing
65000.0,Glass
65000.0,Food & Bev
65000.0,Fabric and textile
65000.0,Economic Research
65000.0,Diversity and Inclusion - higher education/student affairs
65000.0,Classical Music
65000.0,Child Support Services
65000.0,Catering (Wedding & Other Events)
65000.0,Big box retail
64950.0,Tech/Marketing
64900.0,Regulation
64800.0,Medical Coding
64800.0,IT Hardware Manufacturer
64750.0,Web Design
64680.0,Public Practice
64500.0,Aviation/aerospace
64500.0,Accouting
64336.2105263158,Education - High School
64310.0,Staffing Agency
64222.5,Media (YouTube)
64068.0,Engines
64000.0,Tech adjacent
64000.0,Sign Manufacturing
64000.0,Media Monitoring
64000.0,IT / Public Libraries
64000.0,Firefighter
64000.0,Compensation
64000.0,Biological/biomedical research
64000.0,Aviation/Government
64000.0,Auto mfg.
64000.0,Association (health care)
63999.5454545455,Music
63800.0,Technology - Health Insurance
63705.0,Civil Nuclear
63500.0,Records Management
63500.0,Online Publishing
63483.3333333333,Interior Design
63385.7406451613,Arts
63304.375,Banking/ Finance
63300.0,Technical Installation
63300.0,Museum / Culture
63000.0,retailer (corporate)
63000.0,Registered Nurse (BSN)
63000.0,K-12 Education Administration
63000.0,HR(Law firm professional development and training)
63000.0,Fashion (Menswear)
63000.0,Chemistry - personal care product formulation
63000.0,Biodiesel
62980.0,Newspapers
62875.0,Pest control
62866.6666666667,Learning and Development
62825.3333333333,Procurement
62799.0,Health Information Management
62500.0,Satellite Tv
62500.0,Hospital (non-profit)
62400.0,Summer Camp/Child Care
62400.0,SaaS tech company
62277.7777777778,Natural Resources
62273.1111111111,Education Software
62250.0,Biology research
62200.0,Third party logistics
62172.0,Landscaping
62148.0,Public Service
62000.0,retail / web / IT
62000.0,Wireless adjacent
62000.0,Talent Operations
62000.0,Retail Distribution (Oil and Gas)
62000.0,Linguistic services
62000.0,Insure tech
62000.0,Grant Management
62000.0,Criminal defense - federal public defender
62000.0,Church Minister
62000.0,Brewery/craft beer
62000.0,Bank Regulation
62000.0,Alternative Asset Management
62000.0,Academia/government
61800.0,Museum/Higher Ed
61790.0,Animal vaccine manufacture
61766.0,UX
61671.0769230769,County Government
61610.0,Instructional Design for a health insurance company
61600.0,Tourism Marketing
61600.0,Arts/Academia
61577.39,Central Government
61500.0,Maritime
61500.0,Ailine
61430.0,Religion
61420.0,Strategy
61417.3333333333,Recruitment
61384.4076923077,Development
61242.0,Wind Energy
61200.0,Library and Archives
61166.6666666667,Associations
61000.0,Retail beauty industry
60700.0,Trucking Industry
60680.0,Import & wholesale
60566.6666666667,"Embassy, Digital Media"
60416.6666666667,Forestry
60320.0,Arch/Eng/Construction
60300.0,E-Commerce Retail
60280.0,Magazines
60133.3333333333,Retailer
60000.0,collision repair
60000.0,advocacy
60000.0,adult beverage
60000.0,academia/media
60000.0,Yacht Building
60000.0,World wide retail
60000.0,Wildlife Biology
60000.0,Weddings
60000.0,Trusted Identities and secure transactions
60000.0,Town Government/Library
60000.0,Time and Attendance
60000.0,Tech & Management Consulting
60000.0,Survey research
60000.0,Service - Language Services
60000.0,Science Laboratory
60000.0,Sanitation
60000.0,Religious services
60000.0,Quality management/healthcare
60000.0,Private Vocational College
60000.0,Private Events
60000.0,Parking
60000.0,Ocean Conservation
60000.0,Neuroscience
60000.0,Natural Health supplements
60000.0,Natural Food
60000.0,Multimedia Software
60000.0,Military non profit
60000.0,Media Education
60000.0,Lobbying/Government Affairs
60000.0,Life safety
60000.0,Law Library
60000.0,Injection Molding
60000.0,Hydrogeology consulting
60000.0,Hotel sales
60000.0,Hospital/Healthcare
60000.0,Health and Nutrition
60000.0,Health & Wellbeing
60000.0,Hardware electronics
60000.0,Greeting cards
60000.0,For profit education
60000.0,Food (Meal Kits)
60000.0,Fine jewelry
60000.0,Design/Manufacturing
60000.0,Cosmetology
60000.0,Constuction
60000.0,Big box store. Retail
60000.0,Automobilr
60000.0,Auto rental
60000.0,Audio Video
60000.0,"Arts, Design, and Media"
60000.0,Alarms
60000.0,Academia - Fundraising
59996.6666666667,Wine Sales
59950.0,Your answer
59840.4545454545,Grocery retail
59750.0,Fine Art
59714.2857142857,Furniture Manufacturing
59665.6,Think tanks
59600.0,biotech-diagnostics
59573.75,Community Mental Health
59470.0,University Communications
59393.22,Background checking
59250.0,Science academic research
59250.0,Acedemia/Healthcare
59200.0,Aerospace sales
59000.0,"finance, web services"
59000.0,Wellness consumer products
59000.0,Training facilitation workforce development
59000.0,Specialty Food
59000.0,Oncology
59000.0,K-12 Independent School
59000.0,Finance/Credit/Mortgage
59000.0,Finance (Regulatory)
58750.0,Specialty Retailer
58700.0,Cable internet provider
58600.0,Veterinary Diagnostics
58509.3636363636,Academic Research
58500.0,foreign policy (think tank)
58500.0,Library / Education
58500.0,Higher Ed/Non Profit
58500.0,Casino (Hospitality)
58400.0,Municipal Construction
58333.3333333333,Arboriculture
58234.0,Child Nutrition Program
58210.7415730337,Nonprofit social services
58200.0,Home Health Care
58160.0,Veterinary Pharmaceuticals
58103.0,Energy/Tech
58000.0,Public/Government
58000.0,Ophthalmology
58000.0,Lending
58000.0,Human Reaources
58000.0,CPS Brokerage
57997.5,Tertiary Education
57900.0,Startup
57866.6666666667,Academia - library
57764.8032786885,Restaurant
57725.0,Public Schools
57700.0,Medical communications
57608.0,State University
57600.0,Wholesale Supply
57600.0,Tech/Digital
57600.0,Paper Products
57571.5714285714,A
57540.0,LSP
57500.0,Reproductive health
57500.0,Music streaming
57500.0,Legal Field
57500.0,Fiance
57491.3333333333,Call Centers
57333.3333333333,Window Treatments
57320.0,Recycling
57213.3333333333,Civil Construction
57205.0,Health Administration
57200.0,Securities
57200.0,Data Provider
57100.0,Flow & Density Measurement
57033.3333333333,Office Furniture
57007.8181818182,Libraries and archives
57000.0,print/tech
57000.0,PR & creative
57000.0,Furniture Dealership
57000.0,Fabless Semiconductor
57000.0,Delivery
57000.0,"Data Storage, analysis, Consulting"
56860.0,IT and Consulting
56700.0,Orthodontic Practice Management Software
56690.1935483871,Graphic Design
56666.6666666667,Personal Services
56666.6666666667,Higher Ed/Marketing
56611.0,Archives/Libraries
56539.6,Workforce Development
56500.0,Withheld
56500.0,Global Mobility
56500.0,Content Development
56500.0,Book Distribution
56330.5,Cultural
56288.8888888889,Production
56250.0,Parks & Rec
56240.0,Paper and print
56170.0,Games Industry
56087.5,Charitable Sector
56000.0,retail/manufacturing
56000.0,editorial
56000.0,carpentry
56000.0,Tech (Managed Service Provider)
56000.0,Sleepaway Camp
56000.0,Political Polling
56000.0,POS systems
56000.0,Museum Archive
56000.0,Highway Maintenance
56000.0,Golf Course
56000.0,Flooring/Ceramic Tile
56000.0,Federal Public Service (Canada)
56000.0,E-Commerce Marketing
56000.0,Consumer Services
56000.0,Car Rental
56000.0,Business Management
56000.0,Animal welfare non-profit
55988.5,Regulatory College (non-profit)
55850.0,Writing and Editing
55701.4117647059,Tourism
55674.6666666667,MEP Engineering
55500.0,Religious
55500.0,Online Communictions/Social Media
55500.0,Major Events
55500.0,Logistics/Shipping
55485.6,Medical publishing
55460.0,european institution
55459.35,Shipping
55423.3333333333,Employment Benefits
55346.0,Game Development
55314.84,Charity
55224.0,Intergovernmental organization
55000.0,signage
55000.0,managed services
55000.0,Web Dev
55000.0,Tech/Exhibit Design
55000.0,Retail -- surgical supplies
55000.0,People with disabilities
55000.0,Payroll and Benefits
55000.0,Museum and Heritage
55000.0,Museum and Archives
55000.0,Lifecycle Marketing in Tech
55000.0,Legal Tech
55000.0,K-8 Advancement/Development
55000.0,IT/SaaS
55000.0,"Home Performance Contracting (Green HVAC, Solar, Windows, Insulation etc)"
55000.0,FIREFIGHTING
55000.0,Ethanol
55000.0,Energizer
55000.0,Earth moving (oil and gas
55000.0,Customer Success
55000.0,Credit
55000.0,Asbestos abatement
55000.0,Art/Design
55000.0,Activism
54850.0,GIS
54800.0,Toxicology
54760.0,Business
54750.0,Fragrance
54680.0,Ag Manufacturing
54679.5277777778,Payroll
54605.0,Physical Security
54600.0,Ophthamology
54500.0,Public Higher Education Development
54400.0,Medical Billing
54373.7,Academic Administration
54250.0,Aquaculture
54124.5,Property
54083.3714285714,Scientific research
54080.0,Indoor Fitness
54080.0,GIS and Engineering
54050.0,Disability Services
54000.0,Zoo/animal care
54000.0,Sustainability
54000.0,Smart utilities
54000.0,Private Country Club
54000.0,Libraries/Higher Education
54000.0,K-12 Educational Publishing
54000.0,Higher Ed Development
54000.0,"Highed ed, Librarian"
54000.0,Green/Retail Home & Garden
54000.0,Collegiate retail
54000.0,Civil rights advocacy
53964.5833333333,Fitness
53900.0,Machining
53881.5,Library/archives
53800.0,Provincial Government Civil Service
53780.0,Autonomous Cars
53666.6666666667,Membership Association
53600.0,Affiliate websites
53500.0,"Writing, education adjacent"
53500.0,Chemical/coatings
53400.0,Arts and Culture
53333.3333333333,Surveying
53333.3333333333,Magazine publishing
53169.9657142857,NGO
53100.0,Build Environment
53080.0,Chemistry
53014.0,Tax Preparation (Professional Services)
53000.0,data science; university enrollment management
53000.0,casino IT
53000.0,Swimming pools
53000.0,Sport non-profit
53000.0,Shopping Center
53000.0,Running/Races
53000.0,Museums-Federal
53000.0,Machine Tools
53000.0,Long Term Care Pharmacy
53000.0,Goernment
53000.0,Generators
53000.0,DoD Dept of the Navy
53000.0,Correctional Mental Health Care
53000.0,College and University Fundraising
53000.0,Biotech/Marketing
53000.0,Airline Catering/Data Management
52863.2571428571,Health and Wellness
52800.0,Engineer
52780.0,Web consulting
52680.0,Grants Administration
52666.6666666667,Travel/Hospitality
52540.0,Aged care
52508.75,Librarian
52500.0,Micro Biology
52500.0,Car insurance
52333.3333333333,Food Service Management
52171.5,Blood Banking
52060.0,Charity - Agricultural
52030.0,Biofuels
52000.0,small construction
52000.0,luxury
52000.0,Warehouse
52000.0,Stainless Steel Fabricating
52000.0,Research Compliance (University)
52000.0,Museum Field/Trade Association
52000.0,Municipal Library
52000.0,Moving and Storage
52000.0,Median & Marketing
52000.0,IT Distribution
52000.0,Elderly Home Care
52000.0,Cryptocurruncy mining
52000.0,Convention Center
52000.0,Charitable Giving
51800.0,Vocational education and training
51750.0,Non Governmental Organization
51750.0,Health and Human Services
51750.0,EMS
51732.8,Higher Ed Fundraising
51546.3333333333,Academia/Higher Ed
51500.0,Research/Public Policy
51450.0,Fine Arts/Museums
51209.0,Water/wastewater
51125.0,Promotional Product Distribution
51125.0,Auditing
51082.8571428571,Games
51000.0,certification
51000.0,Know Your Client
51000.0,Fleet Leasing
50887.5,Retail/Ecommerce
50804.0,Risk and Compliance/Due Diligence
50779.3333333333,Religious nonprofit
50500.0,Tax and Payroll
50500.0,Manufactuing
50500.0,Biological Sciences
50400.0,Meeting and Events
50194.0,Meetings and Events
50175.0,Adult Education
50134.2857142857,Recreation
50000.0,trucking/transportation
50000.0,pharaceuticals
50000.0,Water department
50000.0,Tv advertising
50000.0,Turf management
50000.0,Tile industry
50000.0,Tech/Print/Publishing
50000.0,Tax and Audit
50000.0,Seasonal govt and Ski
50000.0,Older Adult Services
50000.0,Oil and Energy
50000.0,Non orofit theater
50000.0,Native American sovereign nation
50000.0,Multi family
50000.0,Movie Theaters & Cinemas
50000.0,"Mortgage, technology"
50000.0,Licensing
50000.0,IT for Medical System
50000.0,Fine Arts Nonprofit
50000.0,Federal
50000.0,E-commerce SaaS
50000.0,Dog care
50000.0,Dairy manufacturing
50000.0,Creative/Marketing
50000.0,College communications office
50000.0,CNC Machining
50000.0,501(c)3 nonprofit - homeless services
49880.0,HR/Payroll
49856.0,Historic Preservation
49843.3333333333,Catholic Church
49720.0,Theme Parks
49633.0,Drug Rehabilitation
49600.0,retail liquor sales
49500.0,Oncology software
49500.0,Natural Land and Resource Management
49500.0,Mutual funds
49500.0,Dental Appliances
49400.0,Facility maintenance
49388.5,Conveyancing
49300.0,Funeral Service
49280.0,Customer Support
